רשות מקומית,ישוב,מספר זיהוי,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,ציר X,ציר Y,מספר המבנים,בעלי המתקן,גוף מפעיל המתקן,טלפון איש קשר,דואל איש קשר,מספר מושבים,פנוי לפעילות,גידור קיים,תאורה קיימת,נגישות לנכים,חניה לרכבים,מצב המתקן,מתקן תקני לתחרויות,שימוש לתחרויות רשמיות,שנת הקמה,משרת בית ספר
מטה בנימין,,234A2107657,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224667,641443,,,עלי,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2013,
מטה בנימין,,234A2107658,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224664,641438,,,נריה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2012,
מטה בנימין,,234A2107659,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224676,641442,,,ענתות,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2010,
מטה בנימין,,234A2107660,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224674,641445,,,עפרה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2013,
מטה בנימין,,234A2107661,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224660,641450,,,רימונים,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2012,
מטה בנימין,,234A2107662,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224659,641445,,,שבות רחל,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2012,
מטה בנימין,,234A2107663,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224668,641444,,,שילה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,
מטה בנימין,,234A2107664,מתקן פתוח לכושר גופני,פארק פתוח מתקני כושר,,,,224661,641444,,,תל ציון,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2010,
מטה בנימין,,234M1106224,מגרש מיני פיץ',מיניפיץ ' מכמש,,,,229111,642807,,,אגוש מכמש,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,לא רלוונטי,2017,
מטה בנימין,,234B1104654,מגרש כדורסל – 19X32 מ',מגרש כדורסל נריה,,,,212015,651353,,,מועצה אזורית מטה בנימין,,,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,,לא רלוונטי,2015,כן
מטה בנימין,,234G2200508,אולם ספורט קטן – 15x24 מ',אולם כדורסל ישיבת אהבת חיים,,,,232495,651686,,,ישיבת אהבת חיים,,,,בתיאום בלבד,כן,כן,כן,לא,תקין ופעיל,,ליגה מקומית ואיזורית,,כן
מטה בנימין,,234B1104618,מגרש כדורסל – 19X32 מ',מגרש כדורסל ישיבת אהבת חיים,,,,232415,651697,,,ישיבת אהבת חיים,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,לא רלוונטי,,כן
מטה בנימין,,234F2104278,מגרש כדורגל - לא תקני,מגרש כדורגל מבוא חורון,,,,202973,639817,,,ועד מקומי מבוא חורון,,,,בתיאום בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2015,
מטה בנימין,,234F2204273,מגרש כדורגל - לא תקני,מגרש כדורגל כפר אדומים,,,,231614,637019,,,מאיר אפללו,,,,כניסה בתשלום במקום,כן,כן,לא,כן,תקין ופעיל,,,2016,
מטה בנימין,,234G3300952,אולם ספורט בינוני – 32x19 מ',אולם ספורט חשמונאים,,,,202239,648638,,מטה בנימין,ועד מקומי חשמונאים,,,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",,2017,נר תמיד - יסודי וישיבה תיכונית
מטה בנימין,,234A1103005,מכון לכושר גופני,חדר כושר שילה,,,,228108,661580,,,עמית כהן,,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,לא רלוונטי,,אוהל שילה
מטה בנימין,,234S1404789,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מגרש כדורעף חופים,,,,204524,652226,,,"אגו""ש נילי",,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",,2017,נילי
מטה בנימין,,234P1302117,בריכת שחיה - 25X12.5 מ',בריכה ישוב נעלה,,,,206141,652180,,,ועד מקומי נעלה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,אינו משמש לתחרויות רשמיות,2017,ביס נעלה
מטה בנימין,,234G2100503,אולם ספורט קטן – 15x24 מ',אולם כדורסל אדם,,,,226121,639711,,,ועד מקומי אדם,,,,בתיאום בלבד,לא,כן,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,ליגה מקומית ואיזורית,2010,
מטה בנימין,,234G2100978,אולם ספורט קטן – 15x24 מ',אולם ספורט כוכב יעקב- תל ציון,,,,222995,643303,,,ועד מקומי כוכב יעקב,,,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,,,2011,"כוכב יעקב, אולפנה מקומית"
מטה בנימין,,234P1102282,בריכת שחיה - 25X12.5 מ',בריכת רימונים,,,,232368,649097,,,"אגו""ש רימונים",,,,כניסה בתשלום במקום,לא,לא,לא,לא,תקין ופעיל,,,,
מטה יהודה,צרעה,095G2309010,אולם ספורט קטן – 15x24 מ',אולם ספורט צרעה חדש,,,,198475,630216,,מטה יהודה,מועצה אזורית מטה יהודה,,,250,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2019,כן
מטה יהודה,תירוש,095K1109011,מגרש שחבק דשא סינטטי,שחבק תירוש,,,,198475,630216,,מטה יהודה,מועצה אזורית מטה יהודה,052725082,uzi@m-yehuda.org.il,0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,,לא רלוונטי,2019,לא
מטה יהודה,צור הדסה,095G3309012,אולם ספורט בינוני – 32x19 מ',אולם ספורט צור הדסה,,,,208935,625124,,מטה יהודה,מועצה אזורית מטה יהודה,,uzi@m-yehuda.org.il,,בתיאום בלבד,לא,כן,כן,כן,תקין ופעיל,,,2020,
מטה יהודה,,095F2106123,מגרש כדורגל - לא תקני,מושב טל שחר,,,,190370,634670,1,,טל שחר,08-9340825,uzi@m-yehuda.org.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002,
מטה יהודה,,095T1102488,מגרש טניס,גבעת יערים,,,,208570,632710,1,,גבעת יערים,02-5342797,uzi@m-yehuda.org.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1990,
מטה יהודה,,095B1102493,מגרש כדורסל – 19X32 מ',גבעת ישעיהו,,,,195320,619680,1,,גבעת ישעיהו,02-9911340,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009,
מטה יהודה,,095G1100935,אולם ספורט קטן – 20x10 מ',אולם ספורט השחר,,,,250430,641850,1,מטה יהודה,מטה יהודה טל שחר,02-9900865,sport@m-yehuda.org.il,,בתיאום בלבד,לא,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2004,"בי""ס השחר"
מטה יהודה,,095B1106113,מגרש כדורסל – 19X32 מ',מחסיה,,,,200640,628550,1,,מחסיה,02-9914110,uzi@m-yehuda.org.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2008,
מטה יהודה,,095F2106485,מגרש כדורגל - לא תקני,מסילת ציון,,,,201340,634090,1,,מסילת ציון,02-9911486,,,בתיאום בלבד,לא,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,
מטה יהודה,,095T1106479,מגרש טניס,מסילת ציון,,,,201380,633950,1,,מסילת ציון,02-9911486,uzi@m-yehuda.org.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1980,
מטה יהודה,,095G1101023,אולם ספורט קטן – 20x10 מ',אולם ספורט נווה שלום,,,,199970,597180,1,מטה יהודה,נווה שלום,02-9912222,,,בתיאום בלבד,לא,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2004,"בי""ס נווה שלום"
מטה יהודה,,095G2101024,אולם ספורט קטן – 15x24 מ',אולם ספורט נוחם,,,,199980,630190,1,מטה יהודה,מטה יהודה,02-9900865,uzi@m-yehuda.org.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1968,ישיבת נחשון
מטה יהודה,,095F2106109,מגרש כדורגל - לא תקני,מושב נס הרים,,,,205250,627850,1,,נסהרים,02-5330982,,,בתיאום בלבד,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002,
מטה יהודה,,095T1107323,מגרש טניס,נתיב הלה,,,,198580,622060,1,,נתיב הלה,02-9900212,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1980,
מטה יהודה,,095G3101043,אולם ספורט בינוני – 32x19 מ',אולם ספורט עין כרם,,,,214550,631600,1,מטה יהודה,מטה יהודה,02-9900865,uzi@m-yehuda.org.il,200,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1973,"בי""ס עין כרם"
מטה יהודה,,095B2107510,מגרש ספורט משולב – 43X32 מ',עין רפה,,,,211750,633550,1,,עין רפה,02-5342059,,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2008,
מטה יהודה,,095B1107716,מגרש כדורסל – 19X32 מ',צור הדסה,,,,209200,625390,1,,צור הדסה,02-5346866,,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2007,
מטה יהודה,,095M1101969,מגרש מיני פיץ',בית ספר הרטוב,,,,197670,630030,1,מטה יהודה,מטה יהודה,02-9900865,uzi@m-yehuda.org.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
מטה יהודה,,095F2107865,מגרש כדורגל - לא תקני,קיבוץ נתיב הלה,,,,198200,621850,1,,מטה יהודה,02-9900865,uzi@m-yehuda.org.il,,בתיאום בלבד,לא,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2002,
מטה יהודה,,095G3100933,אולם ספורט בינוני – 32x19 מ',אולם ספורט הרטוב צרעה,,,,197630,630080,1,מטה יהודה,מטה יהודה,029958829,uzi@m-yehuda.org.il,250,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1993,"בי""ס הר טוב"
מטה יהודה,,095T1107730,מגרש טניס,צרעה,,,,196810,630170,1,,צרעה,02-9908222,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1982,
מטה יהודה,,095G1100863,אולם ספורט קטן – 20x10 מ',אולם ספורט אלון,,,,211080,635610,1,מטה יהודה,מטה יהודה,029958829,uzi@m-yehuda.org.il,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970,"בי""ס אלון"
מטה יהודה,,095B2108150,מגרש ספורט משולב – 43X32 מ',שריגים ליאון,,,,193840,320540,1,,מטה יהודה ושריגים,029958829,,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1990,
מטולה,,006M1106216,מגרש מיני פיץ',מיני-פיצ,"שצ""פ ג'-ד'",רח' הלבנון / החרמון,,254376,798465,1,מטולה,מ.מ.מטולה,04-6837001,lishka@metulla.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2007,
מטולה,,006P1102094,בריכת שחיה - 25X12.5 מ',בריכה,,הראשונים,,254370,798100,1,מטולה,מ.מ.מטולה,04-6837001,lishka@metulla.muni.il,,בתיאום בלבד,כן,לא,לא,לא,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1973,
מטולה,,006T1103876,מגרש טניס,מגרש טניס,,הגורן,,254410,798080,1,מטולה,מ.מ.מטולה,04-6837001,lishka@metulla.muni.il,,בתיאום בלבד,כן,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007,
מטולה,,006M1105899,מגרש מיני פיץ',מגרש שחבק,,הלבנון,,253928,798680,,מטולה,מועצה מקומית מטולה,,,,בתיאום בלבד,לא,לא,לא,לא,לא פעיל,,,2018,
מיתר,,111K1108526,מגרש שחבק דשא סינטטי,שחבק,,,,194179,581679,,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,,לא רלוונטי,2019,לא
מיתר,,111M1108527,מגרש מיני פיץ',מיניפיץ,,,,194179,581679,,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2013,
מיתר,,111M1108529,מגרש מיני פיץ',מיניפיץ,,,,194179,581679,,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,בוקר בלבד,כן,כן,כן,כן,תקין ופעיל,,,2016,כן
מיתר,,111G3308534,אולם ספורט בינוני – 32x19 מ',אולם כדורסל,,,,194179,581679,,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,120,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2018,לא
מיתר,,111G3406751,אולם ספורט בינוני – 32x19 מ',מרכז פיס קהילתי,,המייסדים,,194454,581707,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,415,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1997,מיתרים
מיתר,,111F5106489,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מסלול אתלטיקה מיתרים,,המייסדים,,194465,581883,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007,מיתרים
מיתר,,111P1102339,בריכת שחיה - 25X12.5 מ',בריכת שחיה מקורה,,המייסדים,,194597,581744,1,,מועדון ספורט מיתר,,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",לא רלוונטי,1999,כן
מיתר,,111P1102344,בריכת שחיה - 25X12.5 מ',בריכת שחיה פתוחה,,המייסדים,,194578,581699,1,,מועדון ספורט מיתר,,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1986,
מיתר,,111F1101311,מגרש כדורגל – 45X90 מ',איצטדיון כדורגל,,דרך חברון,,193195,581891,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,בתיאום בלבד,כן,כן,כן,כן,לא תקין ולא פעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006,
מיתר,,111B1104673,מגרש כדורסל – 19X32 מ',מגרש כדורסל פסגות,,המייסדים,,194321,581729,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2015,פסגות
מיתר,,111B2106808,מגרש ספורט משולב – 43X32 מ',משולב - הוקי רולר,,,,194459,581649,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2011,
מיתר,,111B2106835,מגרש ספורט משולב – 43X32 מ',משולב חמדת,המייסדים,המייסדים,,194242,581570,1,מיתר,מועצה מקומית מיתר,086684031,sima@metar.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1998,חמדת
מיתר,,111E1107680,מגרש פטאנק או כדורת דשא,פטאנק מועדון ספורט מיתר,,המייסדים,,194721,581789,1,,מועדון ספורט מיתר,,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2010,
מיתר,,111A1106067,מכון לכושר גופני,מועדון כושר גופני מרכז ספורט,,המייסדים,,194503,581670,1,,מועדון ספורט מיתר,,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2013,
מיתר,,111A2107147,מתקן פתוח לכושר גופני,מתקני כושר גופני ורדימון,,המייסדים,,194179,581679,1,מיתר,מועצה מקומית מיתר,08-6684029,sima@metar.muni.il,,פתוח ללא הגבלה,לא,כן,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2010,
מיתר,,111T1405981,מגרש טניס,מגרשי טניס,,המייסדים,,194659,581776,4,,מועדון ספורט מיתר,052808644,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",משחקים בינלאומיים,1994,כן
מנשה,עין שמר,161G3408785,אולם ספורט בינוני – 32x19 מ',אולם עין שמר,,,,200791,707500,,,מועצה אזורית מנשה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,1984,
מנשה,,161K1108786,מגרש שחבק דשא סינטטי,"שחב""ק מרכז אזורי מנשה",,,,201016,708023,,מנשה,מועצה אזורית מנשה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2018,
מנשה,,161G4408791,אולם ספורט גדול - 45X24 מ',היכל הספורט מנשה,,,,201080,708024,,מנשה,מועצה אזורית מנשה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2019,
מנשה,,161G3308796,אולם ספורט בינוני – 32x19 מ',אולם קציר,,,,210368,710499,,מנשה,מועצה אזורית מנשה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2020,
מנשה,,161P1102132,בריכת שחיה - 25X12.5 מ',"בריכת ב""ס אלוני יצחק",,,,200660,712998,1,,"בי""ס אלוני יצחק",052-5699835,jacobb@a-y.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1980,כפר הנוער אלוני יצחק
מנשה,,161B2104847,מגרש ספורט משולב – 43X32 מ',מגרש כפר אום אל קטף,,,,205604,708584,1,,כפר אום אל קטף,04-6385939,sofian@qsm.ac.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1993,
מנשה,,161P1102268,בריכת שחיה - 25X12.5 מ',בריכת קיבוץ כפר גליקסון,,,,200861,712277,1,,קיבוץ כפר גליקסון,04-6307254,gidontel@glikson.org.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1968,
מנשה,,161B1105864,מגרש כדורסל – 19X32 מ',מגרש קיבוץ כפר גליקסון,,,,200846,712243,1,,קיבוץ כפר גליקסון,04-6307254,gidontel@glikson.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1965,
מנשה,,161B2104859,מגרש ספורט משולב – 43X32 מ',מגרש כפר מייסר,,,,204033,705443,1,,כפר מייסר,052-2815738,robengoju@nana.co.il,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001,"בי""ס מייסר"
מנשה,,161P1102221,בריכת שחיה - 25X12.5 מ',בריכת מושב גן שומרון,,,,199855,707335,1,,משכיר המתקן,052-3949649,shaiabengal@gmail.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1980,
מנשה,,161T1103690,מגרש טניס,מגרש גן שומרון,,,,199859,707341,1,,מושב גן שומרון,052-3949649,shaiabengal@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994,
מנשה,,161B1104880,מגרש כדורסל – 19X32 מ',מגרש מושב גן שומרון,,,,199861,707345,1,,מושב גן שומרון,052-3949649,shaiabengal@gmail.com,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1990,
מנשה,,161B1104883,מגרש כדורסל – 19X32 מ',מגרש מושב כפר פינס,,,,200433,710116,1,,מושב כפר פינס,04-6376472,hlpsh@walla.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1982,
מנשה,,161F2104884,מגרש כדורגל - לא תקני,מגרש מושב מאור,,,,200804,703258,1,,מושב מאור,054-4818363,gmintz@edushape.co.il,,פתוח ללא הגבלה,לא,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1999,
מנשה,,161B1104878,מגרש כדורסל – 19X32 מ',מגרש מושב מאור,,,,200796,703200,1,,מושב מאור,054-4818363,gmintz@edushape.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002,
מנשה,,161G2100665,אולם ספורט קטן – 15x24 מ',אולם מי עמי,,,,214278,712336,1,,מושב מי עמי,04-6352306,mor.kehila@gmail.com,,בתיאום בלבד,לא,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1980,
מנשה,,161P1102227,בריכת שחיה - 25X12.5 מ',בריכת מושב מי עמי,,,,214375,712358,1,,מושב מי עמי,04-6352306,mor.kehila@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1984,
מנשה,,161B1104887,מגרש כדורסל – 19X32 מ',מגרש מושב עין עירון,,,,200918,709908,1,,מושב עין עירון,050-5541917,ayalaf2@walla.co.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1997,
מנשה,,161P1102231,בריכת שחיה - 25X12.5 מ',בריכת מושב שדה יצחק,,,,199669,701163,1,,מושב שדה יצחק,052-2366255,hafuz1@inter.net.il,,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1986,
מנשה,,161B1104894,מגרש כדורסל – 19X32 מ',מגרש מושב שדה יצחק,,,,199609,701231,1,,מושב שדה יצחק,052-2366255,hafuz1@inter.net.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,
מנשה,,161P1102224,בריכת שחיה - 25X12.5 מ',בריכת מושב תלמי אלעזר,,,,197626,705694,1,,משכיר המתקן,057-7626723,izhak70@walla.com,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1988,
מנשה,,161F2104285,מגרש כדורגל - לא תקני,מגרש כדורגל מושב תלמי אלעזר,,,,197764,705770,1,,מושב תלמי אלעזר,057-7626723,izhak70@walla.com,,פתוח ללא הגבלה,כן,לא,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1991,
מנשה,,161B1104896,מגרש כדורסל – 19X32 מ',מגרש מושב תלמי אלעזר,,,,197633,705763,1,,מושב תלמי אלעזר,057-7626723,izhak70@walla.com,,פתוח ללא הגבלה,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1987,
מנשה,,161G2100153,אולם ספורט קטן – 15x24 מ',אולם אזורי מנשה,,,,201292,708061,1,מנשה,מחלקת הספורט מנשה,04-6177323,odedn@menashe.co.il,400,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1988,גוונים + רעות
מנשה,,161P1102158,בריכת שחיה - 25X12.5 מ',בריכת גבעת חביבה,,,,202351,707199,1,,סמינריון גבעת חביבה,,tooly2@netvision.net.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1978,קמפוס גבעת חביבה
